Page ID,Page Name,Disclaimer,Amount Spent (USD)
﻿281618778426,River Network,RIVER NETWORK,≤100
461204744067686,Family Protection Association,Family Protection Association,≤100
103156981159122,Beyond Patriots,Beyond Patriots LLC,≤100
92925746942,Judicial Watch,Judicial Watch,≤100
70795936969,Children International,CHILDREN INTERNATIONAL,≤100
416707608450706,Tom Steyer,TOM STEYER 2020,≤100
199657493971420,Curated by Facebook,Steven Matthew Garcia,≤100
289446947817747,Global Citizen,"GLOBAL POVERTY PROJECT, INC.",≤100
910297582349535,Cory Briggs for City Attorney,Cory Briggs for City Attorney 2020,≤100
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,≤100
385473284886474,Hillsdale College,HILLSDALE COLLEGE,≤100
355913551109735,The Andrew Goodman Foundation,The Andrew Goodman Foundation,≤100
103197217821401,Donald J. Trump 2020,Trump Collections,≤100
21559454473,FAIR,FEDERATION FOR AMERICAN IMMIGRATION REFORM,≤100
6985452607,Brita USA,The Clorox Company,≤100
292351509697,Jerusalem Prayer Team,Jerusalem Prayer Team,≤100
30139072158,CARE,CARE,≤100
732086413514556,Wayside Custom Wheels,Mohamed Ali Bahiral Uloom,≤100
127225910653607,PragerU,PragerU,≤100
195620754724,Helping Hand USA,HELPING HAND FOR RELIEF AND DEVELOPMENT INC.,≤100
1490393897843312,LASD Recruitment Unit,Los Angeles County Sheriff's Department,≤100
681626158940626,Mission Roll Call,Americas Warrior Partnership,≤100
49651563727,Live Action,Live Action,≤100
54684090291,Partnership for Drug-Free Kids,The National Center on Addiction and Substance Abuse with Facebook ad credits,≤100
925007000949719,ExxonMobil,Exxon Mobil Corporation,≤100
1025055787535714,A Case for Women,A Case for Women,≤100
305832706292882,American Gun Association,GunAssociation.org,≤100
252814820267,HIAS,HIAS,≤100
213792049451918,Stand For America Now,Stand For America Inc,≤100
113975140049132,Wayne Reid,Wayne A Reid,≤100
8057376739,The Nature Conservancy,Nature Conservancy,≤100
73970658023,International Rescue Committee,International Rescue Committee,≤100
602714436529710,End Citizens United,END CITIZENS UNITED,≤100
738298126313472,John Thomas Political Strategist,The Thomas Guide Show,≤100
435917576827538,Minnesotans for Line 3,Minnesotans for Line 3,≤100
116748296398796,American Savings,Rachael Anne Ginzel,≤100
102950803268,Food Bank of the Southern Tier,Food Bank of the Southern Tier,≤100
